"EJ_Cas9_1"	"EJ_Cas9_2"	"EJ_Cas9_3"	"EJ_KO_1"	"EJ_KO_2"	"EJ_KO_3"
"WASH7P"	66.2184192176298	65.9682694639464	32.6667133274402	84.8069660693322	76.0767448191288	79.2670013351707
"MIR6859-1"	1.45155198702529	0.920977036792231	0.191931335648885	1.48950949374388	1.48469252628585	2.28455113018396
"RP11-34P13.7"	0.529931677802883	0.473645333207433	1.15158801389331	0.697217209837559	0.907312099396911	0.530754302972031
"RP11-34P13.8"	0.345607615958402	0.315763555471622	1.07481547963376	0.570450444412548	0.687357651058266	0.484601754887506
"RP11-34P13.13"	0.760336755108484	0.657840740565879	0.575794006946655	0.982442432043833	1.81462419879382	1.33842389445121
"FO538757.1"	27.3030016607137	30.2080468067852	12.05328787875	29.9486483316588	26.944419921484	30.2991478174903
"AP006222.2"	6.704787749593	7.28887540546994	13.6655110982006	6.94048040701934	10.1728932356623	6.64596692417151
"RPL23AP21"	1.45155198702529	1.68407229584865	2.91735630186305	1.67965964188139	1.56717544441285	1.13073742807085
"RP4-669L17.10"	1.26722792518081	1.15779970339595	0.460635205557324	1.90150148137516	1.64965836253984	2.14609348593038
"RP5-857K21.4"	1.08290386333633	1.10517244415068	0.499021472687101	1.33105103696261	0.797334875227588	0.969203509775013
"MTND1P23"	45.0902736287062	51.0221278382896	130.897170912539	37.0792788868156	43.9633953616867	37.4758690446338
"MTND2P28"	366.966166624631	384.389501527455	620.322076817196	304.683920699013	335.650488164772	392.273582444415
"MTCO1P12"	216.166043528115	228.6654414207	179.570957633097	131.330368980311	199.636156173363	238.816360063372
"MIR6723"	2.25796975759489	2.23665851792399	3.10928763751193	1.67965964188139	2.30952170755577	2.69992406294468
"MTCO2P12"	9.99958035506309	9.89392473811082	7.17823195326829	5.07067061700043	6.84608220454033	11.8612048577228
"MTATP8P1"	11.0133626952077	8.86769318282805	34.6244129510588	10.9970169006197	15.7817316682978	12.4611879828216
"MTATP6P1"	1655.59872348713	1764.11835716071	4640.89969599004	1851.71383425449	2043.56928520831	1719.50548398513
"MTCO3P12"	43.7078431648726	43.7332524328196	45.6028853501751	32.864283936434	48.6099330828405	41.4449881799029
"RP11-206L10.2"	15.5984237335892	12.4989740707517	11.8229702759713	25.2265863195771	18.7511167208695	19.1533074550776
"RP11-206L10.9"	1.79715960298369	1.68407229584865	3.22444643890127	1.96488486408767	2.14455587130179	2.03071211571907
"RP11-206L10.8"	0.806417770569604	0.789408888679055	1.42029188380175	1.55289287645638	1.01728932356623	1.01535605785954
"LINC01128"	27.4182041993665	28.4976608813139	36.7740439103263	26.969629344171	25.9546249039601	23.1916554124735
"LINC00115"	3.59431920596738	4.31543525811217	3.26283270603104	4.7537537034379	3.71173131571463	3.34605973612802
"RP11-54O7.3"	0.691215231916804	0.447331703584798	0.230317602778662	0.538758753056296	0.43990889667729	2.88453425528278
"SAMD11"	22.7179406223323	23.1296804382963	6.41050661067275	12.9302100733511	9.37555836043474	24.8992996916009
"NOC2L"	335.101144433266	353.970945683688	285.78575878119	281.675752774374	191.965244787552	197.786744816229
"KLHL17"	15.1606540867086	15.288218810751	4.37603445279457	7.66938930821315	14.8744195689009	23.1685791384313
"PLEKHN1"	16.5430845505422	17.2091137732034	17.3122064755294	4.6903703207254	12.8398409217684	8.51514512159475
"PERM1"	2.78790143539777	2.9208128881125	5.22053232964967	1.23597596289385	3.51927117341832	1.84610192338098
"RP11-54O7.17"	0.506891170072323	0.499958962830068	0.076772534259554	0.982442432043833	0.549886120846612	0.807669591479177
"HES4"	3.47911666731458	3.52602636943311	0.767725342595539	3.96146141953158	2.83191352236005	5.37677185184709
"ISG15"	7.280800442857	8.26247970150744	2.4951073634355	2.12334332086893	7.78088860997957	7.33825514543938
"AGRN"	162.389498484988	162.881367364112	34.931503088097	71.9718310700498	253.057592813611	322.537082288699
"RP11-54O7.14"	3.47911666731458	3.76284903603683	0.460635205557324	1.2042842715376	5.33389537221214	7.31517887139712
"RP11-465B22.3"	30.2521866502254	30.1291059179173	26.1410479153781	55.3970764907297	24.3599551535049	31.1991225051385
