"EJ_Cas9_1"	"EJ_Cas9_2"	"EJ_Cas9_3"	"EJ_KO_1"	"EJ_KO_2"	"EJ_KO_3"
"WASH7P"	6.05035536798068	6.04489958559937	5.03217030840985	6.40704375754182	6.25042353554639	6.3096465729601
"MIR6859-1"	0.59112174049243	-0.0352795014998389	-2.01860285282263	0.627023181673413	0.622516326621111	1.2261488165832
"RP11-34P13.7"	-0.773991269722033	-0.919994507382421	0.270772477110106	-0.411036429669656	-0.0556246553305188	-0.77196327979136
"RP11-34P13.8"	-1.32022192986178	-1.43195126610106	0.175915585211743	-0.677342355980588	-0.430074751681962	-0.890392173096777
"RP11-34P13.13"	-0.294769755545297	-0.488620175662904	-0.665066360431015	0.0528444311625272	0.90264456190177	0.478495053378249
"FO538757.1"	4.77388371119161	4.91947877870725	3.59790682280503	4.9070594193553	4.75484917491204	4.92381522674877
"AP006222.2"	2.7569491389627	2.87651505214424	3.77824804490829	2.80639529251277	3.35441800697432	2.7443402254183
"RPL23AP21"	0.59112174049243	0.798206381499659	1.57154174745681	0.794540808213417	0.697810307742734	0.245621070441098
"RP4-669L17.10"	0.402824250251778	0.27818144911874	-0.955953131182312	0.968177052242422	0.769368856066284	1.13813227166907
"RP5-857K21.4"	0.186208307114884	0.21417215739003	-0.852335976260391	0.470840487158569	-0.230735131028146	0.0343131427237689
"MTND1P23"	5.49649860288186	5.67460154673022	7.03289452926405	5.2146742839194	5.4600300912421	5.23000047312859
"MTND2P28"	8.51971877149198	8.58663087321706	9.27700109847836	8.2514291661039	8.39105157718472	8.61591798220401
"MTCO1P12"	7.7563620747215	7.83744049412922	7.48885080136123	7.03765918408266	7.64162550241769	7.9000891101819
"MIR6723"	1.20966250912726	1.1963074105912	1.66181938348513	0.794540808213417	1.24146631869811	1.46194209261359
"MTCO2P12"	3.32976154402049	3.3145209851892	2.85461348256387	2.35770282853693	2.78679439572295	3.57483651475023
"MTATP8P1"	3.46835226371649	3.15745736805377	5.11600182894338	3.46622008626346	3.9851903348328	3.64570769476527
"MTATP6P1"	10.6931849771139	10.7847763514066	12.1802056989176	10.8546880326262	10.9969140166612	10.7478238759752
"MTCO3P12"	5.45162998063857	5.45246738736786	5.51278773731192	5.0408550077992	5.6048065281529	5.37503419533714
"RP11-206L10.2"	3.96839380353636	3.65005664365921	3.57019995886414	4.66000726575041	4.23311961542247	4.26364825501439
"RP11-206L10.9"	0.88910369556482	0.798206381499659	1.713393096986	1.01417701603849	1.13712403663012	1.06044702339139
"RP11-206L10.8"	-0.215440013503841	-0.244215863502069	0.560868976334262	0.68505067846025	0.100513439726023	0.097909683486626
"LINC01128"	4.77994606882155	4.83554635318484	5.20276662296803	4.75619560091959	4.7009660841174	4.53894277035726
"LINC00115"	1.86757411913878	2.12773249403735	1.73018261123971	2.26562260197331	1.91326155270681	1.76592724186378
"RP11-54O7.3"	-0.422596005738548	-0.993673519116032	-1.81003844801577	-0.75237759232741	-1.01515665678709	1.55552154527555
"SAMD11"	4.5092400278052	4.5350914248648	2.6927333049705	3.69878237570437	3.23732249686053	4.64120859265172
"NOC2L"	8.38868883669399	8.46771058013622	8.15906700267561	8.13817239604183	7.58511344586952	7.62820192093233
"KLHL17"	3.92747156148743	3.93951648744674	2.14759967739376	2.94939564652075	3.90007304102202	4.5375099296785
"PLEKHN1"	4.05293302975141	4.10969299594031	4.1182824994161	2.2464797055421	3.68870689252038	3.09929687739195
"PERM1"	1.50729579655323	1.57321857450882	2.39927980684039	0.368311953393362	1.83759474897173	0.926733845822586
"RP11-54O7.17"	-0.831982243155244	-0.849896185289314	-2.9253490462405	0.0528444311625272	-0.725584908703024	-0.213344670239596
"HES4"	1.82129470667417	1.84031890022491	-0.28175279081637	2.00587664012102	1.52946064637343	2.44138706997363
"ISG15"	2.87492783415864	3.05612299690572	1.35048188135532	1.12314228124906	2.97007201484562	2.88618334818697
"AGRN"	7.34380172391186	7.3481634918781	5.12872087492805	6.17045967982086	7.98363455225273	8.33356646047618
"RP11-54O7.14"	1.82129470667417	1.93270917027297	-0.955953131182312	0.332450033270752	2.42995347869867	2.88167319714025
"RP11-465B22.3"	4.92158148240007	4.91571058800321	4.71126971841419	5.79316592937991	4.6096851320357	4.96596823768652
"RP11-54O7.18"	2.82420162685564	2.81310943627774	1.73018261123971	3.13779393619535	2.28284565398224	2.99875570727227
"C1orf159"	3.4862600351931	3.54339381983301	1.30637909445732	2.26562260197331	2.89740177860344	3.44940153131534
"SDF4"	7.88497226747781	7.9461082493315	7.95303125139955	8.12791186340523	8.14465181025813	7.73159853928849
"B3GALT6"	2.82420162685564	2.86092297706502	1.35048188135532	3.04666792211694	3.35829106258135	2.72432870916584
"UBE2J2"	5.78575334638267	5.93502170212831	4.55748720769735	5.00570780250654	4.96882289718436	5.55292570795956
"SCNN1D"	-0.664566181102237	-0.488620175662904	-2.26249803404639	-0.0858442161712102	1.04400925984283	1.10755829448678
"ACAP3"	4.37470840247801	4.33895329106703	3.12600828819896	3.26689977702643	4.02958479334067	4.60199066061332
"PUSL1"	3.41013180082117	3.39971836881444	1.16535419533948	2.61816107314571	3.08671869056385	2.95219640392045
"CPSF3L"	6.35326148119965	6.40886364890769	5.16621874288038	5.99447016907441	5.87258837795176	6.29700006411609
"RP5-890O3.9"	0.45225229678948	0.841220480280013	1.30637909445732	1.6888671995281	0.98511198918095	0.593278090325127
"CPTP"	3.21988854070806	3.17016524484928	0.522830353025152	1.92390406151956	2.72813911228657	3.43715908491884
"DVL1"	5.95819465705663	5.96389394987999	3.50827820276555	5.21836331584486	5.66545987077397	6.26315734514466
"MXRA8"	1.5419550625309	0.882989152289454	-0.579822779520087	2.13639713962601	3.0247081120178	1.2261488165832
"AURKAIP1"	6.47409615883412	6.54437213071652	4.81130854766617	5.68000453608818	5.9303172689894	6.26705315677731
"CCNL2"	7.0038765241083	6.94087807427507	6.58584752260964	7.77966450953959	7.68775817373729	7.45516840635808
"RP4-758J18.2"	4.81579479292026	4.90814455090282	4.01588075904413	4.77635630024153	4.81527022985247	4.73545342727477
"MRPL20"	6.63123582653406	6.67939303735936	6.47877395860806	6.56797730145369	6.31810610794417	6.04252493896833
"RN7SL657P"	-0.773991269722033	0.112496231486463	-0.499336165205513	-0.135203601081046	-0.792713060933122	-1.01941920309202
"RP4-758J18.13"	0.427749944406896	0.24653176855366	0.224123493331164	-0.186311741699947	-0.863117740989179	-1.08853500827589
"VWA1"	-1.09051152413617	-1.15338183931438	-2.9253490462405	-2.2288805209076	1.08197934272825	0.678951628842746
"ATAD3C"	-0.140245968088643	0.561498780129941	-1.06759212966516	-0.186311741699947	-0.377598803281401	-0.662522865619623
"ATAD3B"	6.12702729110977	6.12595281315349	5.48955600813992	5.14660591876186	5.08322838136525	4.86904586063152
"ATAD3A"	7.44398685489852	7.47200255182545	7.10103813373307	6.65539106591327	6.78286144296063	6.49601505060252
"SSU72"	6.3228565276512	6.36854184435914	6.13942156959352	6.19936819985006	5.87731964779404	6.08483023199262
"FNDC10"	1.12074489833946	1.12847126308347	-1.46611434326508	1.14398143182241	2.65445216243389	2.19465915110769
"RP11-345P4.9"	0.97616394190306	1.1963074105912	-0.0927250473226429	1.03663842735069	1.13712403663012	1.04439507944971
"MIB2"	1.80235910237055	2.07464886824533	-0.153023703655944	1.26306485491884	2.57679805003127	3.44329329397341
"CDK11B"	8.25612964257508	8.3353993175645	9.52046637268674	8.99571399407567	7.83937653164196	7.40084741899314
"RP11-345P4.10"	0.871042968515494	1.02033347120504	1.21391041447039	1.79807874280949	1.66071051858774	1.62192635384462
"SLC35E2B"	4.56787788836086	4.44733024479834	3.46880787626004	4.98130903791964	4.91986942369734	5.02850555213891
"CDK11A"	7.58534863747909	7.56615284032434	8.43235172554759	7.91160127207351	7.05904422806455	6.85498418187623
"RP1-283E3.8"	7.5777129080579	7.5617391370589	8.43283257424833	7.90951102380061	7.06320271337204	6.86415805567791
"RP1-283E3.4"	0.634591957553726	0.27818144911874	-0.423103542859768	0.368311953393362	0.745908178596256	1.12292627304483
"SLC35E2"	2.85209132430758	2.72398635011604	1.873094413695	3.26214203381566	3.32701151728672	3.45851566866771
"NADK"	6.14357820728864	6.14753360665453	5.02368313665405	5.83621691820845	5.87934259468401	6.0025809135933
"GNB1"	8.95614354986576	9.05837773354465	9.03940433694809	9.05321792217152	8.96248109492467	9.35276892646342
"PRKCZ"	4.90503513124399	4.94311811296481	5.06728105381341	5.31570874081842	5.74748797811231	5.48912984746945
"RP5-892K4.1"	2.68123451761773	2.59797747581996	3.25342549057452	3.34096418755306	3.62583380248145	3.07974137718594
"RP11-181G12.2"	1.32028785882413	1.29243179970786	1.28381159719897	1.14398143182241	2.33880344556906	1.84218851803227
"FAAP20"	4.36828486064179	4.43334180752121	3.4837360799169	4.49137729844175	4.80111210477059	5.00381496487025
"SKI"	6.59111475908116	6.64339021729953	6.35366238879966	6.70444079509715	6.44098332830963	6.19753629424357
"MORN1"	2.86126935128838	3.06975121094036	2.0439777308703	2.95530274131941	3.08671869056385	3.2815237088824
"RP4-740C4.5"	-0.0343287948875	-0.1569780481183	-0.579822779520087	0.767937395471762	0.792454119707697	0.525509700881357
"RER1"	5.86659507797017	5.92818010127631	4.77738137700627	5.2832019774644	5.50439702558212	6.07794707932597
"PEX10"	4.80156201798728	4.85009797362237	3.53240980586175	4.60282545165466	5.05128537181041	5.21214927965968
"PLCH2"	3.32976154402049	3.46649161733916	1.64421014197765	2.87655701502172	4.2950477605645	1.67502039024414
"PANK4"	4.50485440557227	4.57067199976717	3.51313692290827	3.81703823160741	4.73264193824332	4.38333537519387
"TNFRSF14"	-0.104069324284083	0.339471026310297	-1.62785206219797	-0.135203601081046	-0.0149775539168579	-0.37663846387203
"FAM213B"	4.92596197930852	5.06833170244813	2.71820388223828	2.41025586993302	4.40772521213075	4.93582976721114
"MMEL1"	2.03102606248713	2.27618272754408	0.522830353025152	-0.186311741699947	1.60963431385783	2.02507735398763
"ARHGEF16"	4.91828735903491	4.85928225564725	3.64293429436511	2.29386895388036	4.62744666002732	5.33847494621132
"MEGF6"	5.79116598215586	5.63236783054761	3.00705345678666	5.96914932275791	7.26700164260296	7.26934728241572
"RP11-46F15.2"	0.476345447773311	-0.0352795014998389	-0.153023703655944	-0.831530591830705	0.306986358876546	0.327494075741899
"TPRG1L"	4.67064452280657	4.80463752622599	3.85679656467916	3.83956917046418	4.47169340030326	4.70386613861568
"WRAP73"	4.30073997441162	4.33143027508568	3.06113652573851	3.66313480720377	4.11218248330985	4.23564671084936
"TP73"	4.92705502846267	5.05011396164323	4.30356294891611	2.61069489790402	4.75778447927947	4.47001187182379
"TP73-AS1"	5.23396203842033	5.22777353028514	6.32493651806582	5.83381406951269	5.6505339154388	5.32025862335856
"CCDC27"	0.59112174049243	0.509112405427994	-2.01860285282263	0.138410105383285	0.837545157931277	0.615178146129546
"SMIM1"	-1.23951899775594	-1.77750012181941	-3.42272130401548	-2.73753494757885	-0.0556246553305188	0.891275243786902
"LRRC47"	5.64138761897641	5.76254151080303	4.97520960568667	5.23909150225467	5.45008352104086	5.54510380462895
"RP1-286D6.5"	4.02869842531766	4.10969299594031	1.73018261123971	3.55058142573236	3.91592712197269	3.88533294894598
"CEP104"	5.67625797905002	5.68127526083433	6.36512884761306	6.30318105719484	5.71915500644833	5.60104609333213
"DFFB"	2.64979987216927	2.55985663465968	3.10040854848958	1.91180401490844	2.85964622585948	2.67826134027695
"C1orf174"	3.61391973792035	3.600843056457	3.29351417739964	3.02997188843174	3.30309860215795	3.52942730104051
"NPHP4"	3.76337357360855	3.58827280085475	2.52005323927692	3.77423797095278	3.90537711644932	3.9297012908037
"KCNAB2"	1.23812421172811	1.14573166917181	0.224123493331164	0.179362173100909	1.47342417985791	3.24336206852215
"CHD5"	5.63203410574242	5.63313294854612	6.20844745400148	6.63988655561976	6.49651297405232	6.74599629560827
"RPL22"	9.28979783622928	9.325961084797	9.98139649888446	9.36001003557611	9.20926991474949	9.40029903082174
"RNF207"	4.23694548437018	4.23190605959227	3.82197793989758	4.47296570384182	5.14842687829207	4.5546108053642
"ICMT"	5.87511535359701	5.91250927897351	5.52847028652542	4.7340321500557	5.65132335379962	5.5941707922282
"GPR153"	-0.514573385420044	0.0769470001932864	-2.01860285282263	-0.538053446912169	3.13266893042954	3.4154815978352
"ACOT7"	6.03116884216726	6.10514765499074	5.4175281712333	4.39687564437641	5.26648303245923	5.58726256926488
"TNFRSF25"	-2.55581403441186	-1.91389690595064	-1.81003844801577	-2.46090570233608	-0.326964789923185	0.478495053378249
"PLEKHG5"	1.07414280864104	1.24517003328065	0.59793037026547	0.50345898641129	2.48767026640029	3.0316974887478
"NOL9"	3.66722262152573	3.51378790773374	3.52280554731737	3.67392186691302	3.14617338305961	2.9305259424644
"ZBTB48"	3.79005132991309	3.73803790270864	2.23253906315989	4.39252841448279	3.94454803056593	4.05115247448439
"KLHL21"	4.10408514105876	4.16364511206212	2.07058928059645	2.58043770539646	3.67013098513987	3.837229311867
"PHF13"	4.22987673856025	4.34643728126457	3.63404052565148	4.17944160831465	4.41889458424815	4.5375099296785
"THAP3"	4.55237824157566	4.59129168165967	3.24760650525697	4.36616630273563	4.37941749938392	4.49532615855489
"DNAJC11"	7.15332934935608	7.22618842158515	7.61228807133144	7.43089342939576	7.01003200459348	6.36804697736893
"CAMTA1"	4.97962463446644	5.1432888865846	4.82113715518468	4.72022191061538	4.84455758333195	5.60104609333213
"VAMP3"	5.67235243462313	5.7163562080207	5.8158092122885	5.34187344527332	5.26545216450026	5.3474975736689
"PER3"	6.07669642505457	5.94429917735003	6.30616319618559	5.91486240965706	4.66545637861456	5.41927326919216
"RP3-467L1.4"	3.56701047253699	3.56920964118506	3.57949482889785	3.22839112582901	1.94451349504019	3.09150645695249
"UTS2"	2.09466786878636	1.94261884517425	2.71820388223828	1.83699180104167	0.622516326621111	1.4002144674995
"PARK7"	7.40920924371805	7.48222981248627	7.38798063265418	7.50500355576671	7.34787487593437	7.2667553724762
"Y_RNA"	3.28271822512451	3.21990611829337	4.31751752906493	3.59666173710896	3.58675124298152	3.36790311135174
"ERRFI1"	5.75099353138794	5.70693903453013	5.78299507820914	7.97166621840766	6.86716366293059	6.77242690148138
"SLC45A1"	-0.514573385420044	-0.1569780481183	-2.9253490462405	0.29567389884725	1.24146631869811	0.798617583809251
"RERE"	6.42774212591195	6.54233706137602	6.95066691813917	6.81130178417002	6.77019819350432	6.71495846044306
"RPL7P11"	0.126561240100899	0.00310755378720289	-0.35069772068724	-0.75237759232741	-0.278047778545968	-0.610766234945967
"ENO1"	10.9595837577904	10.9768804442117	10.9797951263514	10.5783918901713	11.1769289955972	10.8782409152639
"MIR6728"	2.06319786716409	2.4320325730483	2.1723826217597	1.92390406151956	2.74006249982263	1.86977829181534
"GPR157"	0.215131854032667	0.00310755378720289	0.315960209784246	-0.294302907884506	0.745908178596256	0.300716028562507
"H6PD"	2.87038935910645	2.88681693058146	2.13504670738498	4.98130903791964	4.95354260538425	4.30970228772673
"SPSB1"	1.8856780524082	1.67183109297008	0.802285314462634	2.18747811181471	1.33876840895109	1.41277308958417
"SLC25A33"	2.30435124253171	2.20386617045602	1.51453282074847	2.38421862966136	1.73408648468677	2.68862640797333
"TMEM201"	3.79484927236146	3.76062082807768	2.39927980684039	2.93152784160966	3.33882096355897	3.65630843643409
"PIK3CD"	3.24464847408514	3.3145209851892	2.13504670738498	2.57277320467712	3.33882096355897	3.75824009388713
"PIK3CD-AS2"	0.757656203666327	0.982408077346366	0.0208006113261327	1.35530336106768	1.82645380694642	2.54769903410416
"CLSTN1"	7.77818017045075	7.84983544678409	7.67974405147065	8.02196106193965	8.72169699731147	8.39082708060308
"CTNNBIP1"	3.35921325146475	3.3852582225698	1.90301782199367	2.96704486280013	3.87325615323553	4.28258881830425
"RP11-84A14.5"	-0.254559688284467	-0.436314596134707	-2.26249803404639	-0.915279677649361	0.369728210800804	0.678951628842746
"LZIC"	4.69137732877456	4.69018834290164	5.66133842596252	5.10602777758366	4.33490399539418	4.08096631122073
"NMNAT1"	3.64878979100235	3.64095606471288	4.08929423717644	3.59287743053433	3.94454803056593	3.40609059995534
"UBE4B"	6.21422765011376	6.26621678284303	6.14491030083408	5.18355989282189	6.00262583411042	5.92470467914323
"KIF1B"	6.39848846043773	6.3831696619849	7.20040089580769	6.50745086169337	6.51267659164751	6.37367877596059
"PGD"	7.48853495037254	7.58248597127222	7.662900195085	7.06830300273701	7.81598000774763	7.43164218305361
"RP4-736L20.3"	1.63050446133186	1.85088155898705	2.460929954032	1.31911250812422	0.400104717605593	-0.17525409708588
"APITD1-CORT"	4.60112816325979	4.70772741247447	6.10362932207601	4.82555887998995	4.3466492742788	3.75084009303646
"APITD1"	4.59012966679916	4.6989845306759	6.09798095659138	4.81909468383154	4.32504268663953	3.7107192941466
"DFFA"	6.51428749577095	6.53948313293287	6.33526154091318	6.49989280112002	6.86308055672976	6.34529732755125
"RP5-1113E3.3"	1.8399849944702	1.64780265393362	1.79545242544962	1.45872805241985	2.02468633279872	1.86064019990414
"PEX14"	5.88133172964477	5.89092005795032	4.62637176326813	5.69949195844988	5.91132981950376	5.64362295346866
"CASZ1"	2.74708051333132	2.91225431374233	1.73018261123971	2.90124742929388	2.99516338580259	3.44940153131534
"RP4-734G22.3"	1.15099712389712	1.3531314598401	-0.28175279081637	1.6888671995281	1.59657763304192	2.17267508971587
"TARDBP"	7.62731033063329	7.62079287757108	8.62322370584173	7.32423769491727	7.46879240415657	7.14901322079278
"RP4-635E18.9"	6.83567866677459	6.81267857546239	8.01428811279078	6.55830685643593	6.6282542048389	6.36965830726355
"MASP2"	1.13595030545616	1.24517003328065	1.49501800181614	0.794540808213417	1.20751720193484	0.944141599428069
"RP4-635E18.8"	-0.467851830542571	0.24653176855366	-0.0927250473226429	-0.23929711733283	-0.0149775539168579	0.097909683486626
"SRM"	6.36742200084155	6.42043344775256	5.05567215674929	5.66025027594488	5.32899971185217	4.93800351992821
